                  tryhsui       deprmd     depsleep  depsleepcat      depinter
tryhsui      1.0000000000  0.232616667 -0.010901342 -0.011857039 -0.0008022727
deprmd       0.2326166669  1.000000000  0.005869599 -0.002758179 -0.0058756142
depsleep    -0.0109013419  0.005869599  1.000000000  0.835195614  0.4209773418
depsleepcat -0.0118570389 -0.002758179  0.835195614  1.000000000  0.3497749211
depinter    -0.0008022727 -0.005875614  0.420977342  0.349774921  1.0000000000
depguilt    -0.0188815756  0.003076004  0.235737959  0.191524921  0.2018556126
depconcn    -0.0123543119  0.023282494  0.396496059  0.328433561  0.3523994326
depappet    -0.0080303893  0.010503838  0.487084758  0.398676513  0.4241123921
deppmr      -0.0175518927 -0.002852693  0.351993850  0.280283288  0.2964228572
dage1st      0.0212946344 -0.014913071  0.048402927  0.055574448  0.0127734170
dage1stcat   0.0125024838 -0.005441260  0.056602791  0.049177988  0.0200980851
mage1st      0.0183448443 -0.063843638  0.037259038  0.041831073  0.0249383309
mage1stcat   0.0041298680 -0.061684867  0.047080033  0.038637951  0.0335494006
depsi       -0.0035809595  0.040761042  0.535935560  0.430650555  0.4632040122
depsicat     0.2196664777  0.927544627  0.009419438  0.003494192 -0.0107892936
depenerg    -0.0043020738 -0.003359403  0.474292402  0.389604150  0.4284312871
depsev      -0.0939414457 -0.328025183  0.032107217 -0.068387078 -0.0031525455
depse        0.0053075833  0.009038239  0.290026663  0.235747354  0.2565102554
depdist     -0.0112163321 -0.013748388  0.278353334  0.230321568  0.2390278535
deppma       0.0100900424  0.018484150  0.255852665  0.198782419  0.2261209961
elvselfe    -0.0154106379  0.026745833  0.586987076  0.491222566  0.5214580309
hxsui        0.0123085704 -0.082066707  0.073021605  0.073524952  0.0537344904
elvsleep    -0.0140040796  0.027126971  0.693686635  0.562311337  0.5899181918
elvtalk     -0.0190346012  0.035242061  0.678263109  0.539238549  0.5986383398
elvfoi      -0.0125777841  0.042371949  0.585370919  0.461661332  0.5165579033
elvdistr    -0.0251495196  0.026666331  0.587387038  0.464255769  0.5126280230
elvgdact    -0.0033355314 -0.010933918  0.290780582  0.228548985  0.2545145381
elvhrb      -0.0083270469  0.038060298  0.528975697  0.417096387  0.4661459194
elvpma       0.0101452498  0.010889204  0.304172242  0.237654510  0.2623195509
majdepc      0.0630423763 -0.080794741  0.032656084  0.028930487  0.0502939050
majdepp      0.0628287362 -0.082891233  0.032668050  0.030909590  0.0513599805
moodgenc     0.0640723153 -0.080231286  0.032717152  0.029718405  0.0511687012
moodgenp     0.0640665883 -0.080206028  0.032727957  0.029740060  0.0511678720
moodsubc     0.0647152105 -0.079200957  0.032603211  0.029073011  0.0509730374
moodsubp     0.0646645359 -0.079181103  0.032634681  0.029139105  0.0509831322
manicc       0.0645699724 -0.079419975  0.032471622  0.028902967  0.0510799720
hmanicc      0.0636281859 -0.080845381  0.032231786  0.029836296  0.0511012918
manicp       0.0626642624 -0.082782178  0.032765997  0.031571496  0.0512357628
hmanicp      0.0643949204 -0.079715650  0.032158984  0.029734730  0.0512106613
typeiic      0.0658418931 -0.079081915  0.032543949  0.028090014  0.0510582593
typeiip      0.0660032871 -0.079222574  0.032162895  0.027836590  0.0510111255
clinstat    -0.0155690365 -0.078196894 -0.008255036  0.072626579  0.0543365645
manlast      0.0067853126  0.005597438  0.035157710  0.044409345  0.0233986580
deppast      0.0068805454  0.069389640  0.024325119  0.028621940  0.0493431273
mangenc      0.0647310781 -0.079190375  0.032605480  0.029069241  0.0510161184
mangenp      0.0647607077 -0.079191388  0.032616824  0.029064655  0.0510160866
hypogenc     0.0647240036 -0.079199944  0.032603882  0.029063775  0.0510173690
hypogenp     0.0647658678 -0.079210805  0.032605046  0.029046811  0.0510226150
mansubc      0.0647079412 -0.079229344  0.032603902  0.029084823  0.0510175809
mansubp      0.0646738916 -0.079199125  0.032664770  0.029152639  0.0508433028
hyposubc     0.0647220897 -0.079191481  0.032602521  0.029057744  0.0510160866
hyposubp     0.0647132696 -0.079148089  0.032623999  0.029008917  0.0510409212
anxdisc      0.0635429406 -0.083130107  0.033069121  0.031653096  0.0516744265
anxdisp      0.0635843964 -0.083078699  0.033076739  0.031648437  0.0516702377
anxsubc      0.0635382939 -0.083173749  0.033073901  0.031677670  0.0516773264
anxsubp      0.0635009479 -0.083194272  0.033067959  0.031670143  0.0516802780
pdnoagc      0.0614412045 -0.083060325  0.033302372  0.032801761  0.0518623400
pdnoagp      0.0616796627 -0.083023889  0.033291349  0.032640232  0.0518843695
pdagorc      0.0614097666 -0.082919401  0.033251506  0.032520329  0.0518477513
pdagorp      0.0614497790 -0.082852204  0.033299916  0.032514247  0.0518872846
agorc        0.0614887333 -0.083098645  0.033315885  0.032757976  0.0518773761
agorp        0.0615218682 -0.082999120  0.033371422  0.032779932  0.0518976231
phobiac      0.0579973550 -0.084199574  0.032618362  0.030226580  0.0512919018
phobiap      0.0582284674 -0.084244881  0.032716806  0.030335701  0.0515533508
ocdcur       0.0628507091 -0.083823456  0.033290367  0.031498861  0.0521132480
ocdc         0.0638160716 -0.087974104  0.032889341  0.030815199  0.0512102314
ocdpast      0.0629050671 -0.083661108  0.033349073  0.031529513  0.0521627412
ocdp         0.0632666468 -0.088910319  0.033065137  0.031545636  0.0514643563
ocdgenc      0.0634117673 -0.087274818  0.033332471  0.031437441  0.0512100867
ocdgenp      0.0628246365 -0.088349184  0.033456466  0.032161529  0.0514173213
ocdsubc      0.0634310519 -0.087274818  0.033334756  0.031449520  0.0512110923
ocdsubp      0.0628227404 -0.088377619  0.033457386  0.032158924  0.0514170420
ptsdcur      0.0626429906 -0.083218658  0.033211639  0.031209176  0.0520423552
ptsdc        0.0633931407 -0.088230800  0.032098168  0.031258772  0.0507172987
ptsdpast     0.0625291274 -0.083197713  0.033217966  0.030949730  0.0521565921
ptsdp        0.0645757139 -0.087476321  0.031998539  0.030515426  0.0509328254
alcdepc      0.0612938042 -0.087300214  0.033153575  0.031042140  0.0511386259
alcdepp      0.0611278911 -0.087247615  0.033236409  0.030159700  0.0510424026
alcabusc     0.0636389110 -0.085811480  0.033544960  0.031740384  0.0515729778
alcabusp     0.0621499362 -0.086148966  0.033334501  0.030646388  0.0514866338
drugdepc     0.0621857741 -0.087443961  0.032685783  0.031222945  0.0510483492
drugdepp     0.0626391709 -0.089908160  0.032952441  0.030851474  0.0507787255
drugabc      0.0640139486 -0.083771175  0.032682050  0.031086290  0.0509540146
drugabp      0.0634781943 -0.083732924  0.032845810  0.031049620  0.0512005159
psychp       0.0581347760 -0.083953654  0.032940260  0.028491747  0.0502966135
bpsychp      0.0580295483 -0.083843660  0.032704067  0.027346467  0.0504716618
ipsychp      0.0589037143 -0.084349426  0.032492067  0.028979774  0.0501407739
psychc       0.0592839698 -0.083089047  0.032805416  0.028006309  0.0504767142
bpsychc      0.0580192975 -0.083842597  0.032703043  0.027350975  0.0504721926
ipsychc      0.0582341104 -0.083531215  0.032190514  0.027430240  0.0503160589
schizc       0.0592981377 -0.083113506  0.032813525  0.028035505  0.0504765743
schizp       0.0592962903 -0.083105561  0.032817825  0.028050030  0.0504792833
schaffc      0.0580658023 -0.083817021  0.032695384  0.027335418  0.0504708913
schaffp      0.0580604921 -0.083792230  0.032699241  0.027361914  0.0504750346
schphrc      0.0580192975 -0.083860973  0.032704172  0.027364608  0.0504741787
schphrp      0.0580192975 -0.083860973  0.032704172  0.027364608  0.0504741787
deldisc      0.0580192975 -0.083842781  0.032701914  0.027352679  0.0504741787
deldisp      0.0580053787 -0.083861620  0.032702144  0.027352129  0.0504776370
psygenc      0.0580262570 -0.083851554  0.032703492  0.027358066  0.0504729460
psygenp      0.0580105042 -0.083862174  0.032702374  0.027366917  0.0504751373
psysubc      0.0580123380 -0.083870393  0.032704851  0.027371150  0.0504759079
psysubp      0.0580176154 -0.083904019  0.032719526  0.027373349  0.0504739608
psynosc      0.0580482154 -0.083855991  0.032686148  0.027351965  0.0504698300
psynosp      0.0579901563 -0.083983930  0.032707437  0.027376976  0.0504856856
