                           stepid  dayscons_ade dayscons_weeks_ade
stepid               1.0000000000  0.0048235163       2.160858e-03
dayscons_ade         0.0048235163  1.0000000000       9.869615e-01
dayscons_weeks_ade   0.0021608576  0.9869614592       1.000000e+00
dayscons_mini       -0.0031610856  0.2902990659       2.808789e-01
dayscons_weeks_mini -0.0012618821  0.2803714009       2.768968e-01
dayscons_x          -0.0095609380  0.1091730283       1.070327e-01
dayscons_weeks_x    -0.0061485572  0.1153602053       1.133201e-01
dayscons_y           0.0002800017  0.0339251754       3.617570e-02
dayscons_weeks_y     0.0003698700  0.0337652179       3.604544e-02
certcode_ade        -0.0044001096 -0.0069720480      -2.456187e-03
certcode_mini        0.0010191488  0.0139068448       1.702324e-02
certcode            -0.0030604450 -0.0329593249      -2.818908e-02
deprmd              -0.0197301634 -0.0995313363      -8.875911e-02
depsleep            -0.0019139390  0.0166788575       1.674268e-02
depsleepcat         -0.0104772889  0.0445411041       4.004516e-02
depinter             0.0263792361  0.0142407946       1.454147e-02
depguilt            -0.0197281969 -0.0018530418       1.259641e-04
depenerg             0.0020898765 -0.0139098659      -1.470360e-02
depconcn            -0.0031026150 -0.0167266748      -1.347175e-02
depappet            -0.0047773220 -0.0131566508      -1.510997e-02
deppmr               0.0004517817 -0.0094450939      -9.268391e-03
dage1st             -0.0192672581  0.0180496119       2.178994e-02
dage1stcat          -0.0010182565  0.0526207111       5.437852e-02
mage1st             -0.0072151663 -0.0040754184      -1.349173e-03
mage1stcat           0.0036314186  0.0052502628       1.118877e-02
depsi                0.0080926018 -0.0008356326       3.309501e-04
depsicat            -0.0151049584 -0.0514194773      -4.530572e-02
depsev              -0.0123462142 -0.0097918995      -1.074099e-02
depse               -0.0087332819  0.0074350519       8.857495e-03
depdist             -0.0065494954  0.0492183553       5.165160e-02
deppma              -0.0219433726  0.0699014821       6.444748e-02
elvselfe            -0.0177252712 -0.0484999428      -4.622755e-02
elvsleep            -0.0060431269  0.1037547506       9.893662e-02
elvtalk              0.0258991005 -0.0040485585      -6.902097e-03
elvfoi               0.0036319877  0.0131636092       1.146645e-02
elvdistr            -0.0094276382  0.0486027338       4.958518e-02
elvgdact             0.0197779245 -0.0725893383      -7.063618e-02
elvhrb               0.0067467340  0.0248763335       2.529482e-02
elvpma              -0.0017997696  0.0542847382       5.269176e-02
majdepc              0.0140961973  0.0437082807       3.906234e-02
majdepp              0.0184184356  0.0497528038       4.830707e-02
moodgenc             0.0081453761  0.0382158750       3.768789e-02
moodgenp             0.0100577916  0.0400644590       3.886048e-02
moodsubc             0.0092809238  0.0314333907       3.119571e-02
moodsubp             0.0119072575  0.0408177372       3.968837e-02
manicc               0.0107311703  0.0332739493       3.221055e-02
hmanicc              0.0157450070  0.0251455722       2.527075e-02
manicp              -0.0036339845  0.0483615801       4.669520e-02
hmanicp              0.0135449828  0.0086075162       1.119087e-02
typeiic              0.0142523160  0.0012152860       3.459160e-04
typeiip              0.0238303351 -0.0090596483      -9.928601e-03
clinstat             0.0171404622  0.0065790021       7.849454e-03
manlast             -0.0100700943  0.0429470801       4.407432e-02
deppast              0.0207880572  0.0457354846       4.946748e-02
mangenc              0.0102775328  0.0328057012       3.238809e-02
mangenp              0.0103681319  0.0334181231       3.280052e-02
hypogenc             0.0097920382  0.0338343635       3.352317e-02
hypogenp             0.0141933204  0.0343313553       3.436883e-02
mansubc              0.0086109020  0.0326436215       3.232359e-02
mansubp             -0.0052900279  0.0323519390       3.189748e-02
hyposubc             0.0099076803  0.0336063034       3.348465e-02
hyposubp             0.0049209117  0.0322057137       3.292994e-02
anxdisc              0.0033563726  0.0365291923       3.592321e-02
anxdisp              0.0061178915  0.0338319818       3.349150e-02
anxsubc              0.0059045123  0.0348542643       3.429384e-02
anxsubp              0.0068283625  0.0331330890       3.303922e-02
pdnoagc              0.0013146665  0.0363429571       3.675817e-02
pdnoagp              0.0090498513  0.0341073684       3.645136e-02
pdagorc              0.0031112015  0.0808106429       7.814987e-02
pdagorp              0.0033643564  0.1035822178       9.816077e-02
agorc               -0.0005234197  0.0455750308       4.479597e-02
agorp                0.0100166822  0.0553324477       5.372575e-02
phobiac              0.0116953669  0.0980187029       9.429857e-02
phobiap              0.0153307644  0.1133638083       1.077591e-01
ocdcur              -0.0039600444  0.0576563101       5.269659e-02
ocdc                -0.0062607029  0.0561887295       5.086287e-02
ocdpast             -0.0015397428  0.0535901553       4.870503e-02
ocdp                -0.0050028830  0.0555580081       5.010332e-02
ocdgenc              0.0096263325  0.0377012342       3.644459e-02
ocdgenp              0.0049069293  0.0423187932       4.083318e-02
ocdsubc              0.0071379258  0.0377953172       3.644459e-02
ocdsubp              0.0070775482  0.0414834856       4.007386e-02
ptsdcur             -0.0102667155  0.0507623957       5.298413e-02
ptsdc               -0.0089305664  0.0505718927       5.181119e-02
ptsdpast            -0.0049075896  0.0577855440       5.670449e-02
ptsdp               -0.0030187214  0.0585534805       5.658046e-02
alcdepc              0.0082931018  0.0369090349       3.421761e-02
alcdepp              0.0424656303  0.0564967064       5.563728e-02
alcabusc            -0.0021910498  0.0386201518       3.688824e-02
alcabusp             0.0088615447  0.0396730684       3.657359e-02
drugdepc            -0.0012880425  0.0453849299       4.341796e-02
drugdepp             0.0031071995  0.0646516516       6.520212e-02
drugabc             -0.0056675644  0.0329755761       3.255998e-02
drugabp              0.0120545739  0.0493855183       4.784806e-02
psychp              -0.0038662752  0.0263408321       2.628754e-02
bpsychp              0.0096137547  0.0313678676       3.136776e-02
ipsychp             -0.0116605813  0.0023790260       1.784871e-05
psychc               0.0056743526  0.0298673377       2.898332e-02
bpsychc              0.0090839121  0.0290665884       2.900778e-02
ipsychc              0.0072449993  0.0304610345       2.749229e-02
schizc               0.0121927872  0.0347307082       3.441851e-02
schizp               0.0103710831  0.0401192657       4.020284e-02
schaffc              0.0089234056  0.0274579523       2.684741e-02
schaffp              0.0062248327  0.0299092067       2.940084e-02
schphrc              0.0108525147  0.0294244068       2.900778e-02
schphrp              0.0108525147  0.0294244068       2.900778e-02
deldisc              0.0092845702  0.0290665884       2.900778e-02
deldisp              0.0079881920  0.0285264523       2.857044e-02
psygenc              0.0098436735  0.0293380945       2.922764e-02
psygenp              0.0090643628  0.0281678775       2.813623e-02
psysubc              0.0092168554  0.0287960436       2.878871e-02
psysubp              0.0025964381  0.0368152515       3.659950e-02
psynosc              0.0140231349  0.0311351667       3.088528e-02
psynosp              0.0110878058  0.0382943565       3.868032e-02
moodnosp             0.0078134863  0.0343207963       3.457982e-02
deppsyc              0.0150574712  0.0341739067       3.396514e-02
deppsyp              0.0169015712  0.0311443491       3.148763e-02
bulpurgc             0.0028664881  0.0534410891       5.038951e-02
bulpurgp             0.0098810361  0.0442593277       4.137565e-02
bulnonpc             0.0190601226  0.0488438841       4.674855e-02
bulnonpp             0.0192475468  0.0486410864       4.610170e-02
anbingec             0.0102995706  0.0456654665       4.443395e-02
anbingep             0.0177511215  0.0413791076       3.939958e-02
anrestrc             0.0091469864  0.0446552368       4.309843e-02
anrestrp             0.0058770286  0.0315376338       2.886428e-02
genanxc              0.0059663115  0.0637431521       5.941484e-02
genanxp              0.0082507676  0.0591444566       5.620385e-02
ganxgenc             0.0098197229  0.0406839568       3.915410e-02
ganxgenp             0.0108495865  0.0399933579       3.799761e-02
gadsubc              0.0072070044  0.0386735110       3.738254e-02
gadsubp              0.0082473432  0.0379882408       3.622980e-02
addkidc              0.0186164253  0.0431333600       4.293157e-02
addkidp              0.0057953271  0.0291928113       2.906973e-02
addadltc            -0.0076919476  0.0494786772       4.560928e-02
addadltp            -0.0044482779  0.0440111952       4.096474e-02
                    dayscons_mini dayscons_weeks_mini    dayscons_x
stepid              -3.161086e-03        -0.001261882 -9.560938e-03
dayscons_ade         2.902991e-01         0.280371401  1.091730e-01
dayscons_weeks_ade   2.808789e-01         0.276896843  1.070327e-01
dayscons_mini        1.000000e+00         0.974816566  1.763274e-01
dayscons_weeks_mini  9.748166e-01         1.000000000  1.668433e-01
dayscons_x           1.763274e-01         0.166843298  1.000000e+00
dayscons_weeks_x     1.763534e-01         0.170596918  9.811315e-01
dayscons_y           9.229641e-02         0.099841550  2.818239e-02
dayscons_weeks_y     9.239242e-02         0.099962019  2.819589e-02
certcode_ade         9.472142e-02         0.064028000  1.169875e-01
certcode_mini        2.083265e-01         0.264019950  1.097136e-01
certcode             1.466453e-01         0.134926887  7.343780e-02
deprmd               3.609703e-03        -0.010796647  4.544189e-03
depsleep            -3.463998e-02        -0.029195491 -6.286829e-03
depsleepcat         -1.786502e-02        -0.014767066 -1.340889e-02
depinter            -1.374434e-02        -0.006154881  1.353879e-02
depguilt             1.535179e-02         0.012355841 -1.097071e-02
depenerg            -2.474790e-02        -0.020065910 -3.351555e-03
depconcn            -6.446527e-02        -0.056902498 -8.776522e-03
depappet            -4.197841e-03        -0.000152111  1.403072e-02
deppmr               1.308401e-02         0.008443132 -2.102895e-02
dage1st              1.002531e-02         0.015482379  1.141282e-02
dage1stcat           2.350408e-02         0.024385128  1.669182e-02
mage1st             -1.245156e-02        -0.004533388  2.436421e-02
mage1stcat          -1.937936e-02        -0.013973079 -8.186456e-03
depsi               -3.553633e-03        -0.005602696 -3.235874e-03
depsicat             2.404177e-02         0.020533562  1.302542e-02
depsev              -3.579177e-03        -0.006828584 -1.597789e-02
depse               -3.688620e-02        -0.028530099 -4.343272e-02
depdist              5.110493e-02         0.042211025  2.868628e-02
deppma               6.494899e-02         0.052128935  1.934107e-02
elvselfe            -3.915539e-02        -0.045578297 -3.628928e-02
elvsleep             5.311512e-02         0.053822704  2.322078e-02
elvtalk              8.640430e-03        -0.001292138  9.354453e-04
elvfoi               5.050425e-02         0.033003917  1.654253e-02
elvdistr             6.276402e-02         0.049423229  1.926719e-02
elvgdact            -6.408342e-02        -0.068847882 -8.332367e-03
elvhrb               2.455397e-02         0.012948716  1.055155e-02
elvpma               5.464169e-02         0.043512398  1.050843e-02
majdepc              1.538141e-01         0.247740204  8.458523e-03
majdepp              1.809679e-01         0.323722977  1.106625e-02
moodgenc             1.959781e-01         0.341968549  2.360941e-05
moodgenp             1.996770e-01         0.343222741  4.505011e-03
moodsubc             2.023297e-01         0.348526951  8.785203e-03
moodsubp             2.031877e-01         0.342964660  4.806423e-03
manicc               1.619884e-01         0.283887646  1.295210e-02
hmanicc              1.530298e-01         0.271411965  1.198179e-02
manicp               1.537694e-01         0.265280313 -1.848478e-02
hmanicp              1.197421e-01         0.222188238  3.727276e-02
typeiic              1.357006e-01         0.240597464  1.386919e-02
typeiip              9.890674e-02         0.202544647  1.153410e-02
clinstat            -4.443193e-02        -0.034284881 -2.030688e-03
manlast              1.726661e-02         0.012881419  9.175661e-04
deppast             -6.023224e-06         0.009097971  9.694309e-03
mangenc              2.010350e-01         0.349149459  5.584861e-03
mangenp              1.992570e-01         0.345757034  5.578502e-03
hypogenc             2.001696e-01         0.348136874  5.310750e-03
