              depresd       lessint     moodelev      curdepr     curenjoy
depresd   1.000000000  0.0837070062  0.302464108  0.137206434  0.112580174
lessint   0.083707006  1.0000000000  0.026401435  0.071865443  0.104636600
moodelev  0.302464108  0.0264014348  1.000000000  0.104000396  0.091342630
curdepr   0.137206434  0.0718654432  0.104000396  1.000000000  0.738143838
curenjoy  0.112580174  0.1046366004  0.091342630  0.738143838  1.000000000
curmania  0.068240377  0.0678201133  0.161722385  0.665957820  0.593224761
abnirrit  0.402073328  0.0479475771  0.424525658  0.083573119  0.081442949
curirrit  0.052334960  0.0694226517  0.101993935  0.579271490  0.536756082
abnanx    0.340362316  0.0440006688  0.274854329  0.086755729  0.082339378
deprmd    0.024932945  0.9847867294  0.015075623  0.066723677  0.094128758
depsleep  0.034316325 -0.0016320056  0.019505449  0.023614297  0.019171625
depinter -0.039141706  0.0012346940  0.038350581  0.040115712  0.039768165
depguilt  0.023185272  0.0077334326  0.024940081  0.006827592  0.020454983
depse    -0.022688506 -0.0047205516  0.035486234  0.030813464  0.023551563
depenerg -0.022426558 -0.0066146135  0.072999796  0.023737614  0.018533003
depconcn -0.029506315  0.0087104381  0.017580726  0.029249402  0.030388127
depdist   0.018572287  0.0132611186  0.041672099  0.032780928  0.034462145
depappet  0.010181802  0.0056275907  0.034239060  0.021531403  0.017091072
deppmr    0.019343520  0.0157625675  0.022987823  0.039214634  0.030631554
deppma    0.019991535  0.0107062570  0.038988779  0.039838197  0.040638733
elvselfe -0.050823739  0.0080722438  0.044073156  0.016646025  0.033488673
elvsleep  0.030725567  0.0038293383 -0.004065153  0.012860028  0.031573644
elvtalk   0.001104763 -0.0033115728  0.058395670  0.034384292  0.026937951
elvfoi    0.023665064  0.0028207419  0.059314707  0.017448531  0.013245898
elvdistr  0.065416849  0.0296549950  0.064980514  0.050627370  0.065360653
elvgdact -0.012333100  0.0064430968  0.016265154  0.015377139  0.010241480
elvpma    0.001727978 -0.0005223627  0.015121472  0.030736504  0.033070714
elvhrb    0.010177976 -0.0025240017  0.023980720  0.004268471  0.009388123
depsi     0.032420054 -0.0095922984  0.013901497  0.028702658  0.006763754
silnwl    0.179588915 -0.3944308251 -0.010476265 -0.007974761 -0.024310133
sipassiv  0.179159072 -0.3954713615 -0.010801208 -0.008161449 -0.024434693
siactive  0.178020339 -0.3954129555 -0.010920642 -0.008436043 -0.024749978
depslmin  0.034474597  0.0596839385  0.013902626  0.019504705  0.023986951
depslmax  0.037582119  0.1022379106  0.015542441  0.043553042  0.042149136
smspi     0.016165711 -0.0049643442  0.037068622  0.019405532  0.053458778
smshallu  0.011669839 -0.0089594132  0.035533509  0.020717880  0.043561473
smsior    0.013593958 -0.0087462960  0.041850921  0.018433003  0.040394366
smsdelus  0.010275869 -0.0034870328  0.036131356  0.020377030  0.046568566
smsocd    0.020390628 -0.0074457897  0.044403726  0.026559745  0.045569445
             curmania     abnirrit     curirrit       abnanx        deprmd
depresd   0.068240377  0.402073328  0.052334960  0.340362316  0.0249329450
lessint   0.067820113  0.047947577  0.069422652  0.044000669  0.9847867294
moodelev  0.161722385  0.424525658  0.101993935  0.274854329  0.0150756232
curdepr   0.665957820  0.083573119  0.579271490  0.086755729  0.0667236765
